Category,Counts,Date,WeekNo
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-10-07,40
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-10-14,41
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-10-21,42
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-10-28,43
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-11-04,44
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-11-11,45
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-11-18,46
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-11-25,47
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-12-02,48
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-12-09,49
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-12-16,50
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-12-23,51
"Region_5Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",NA,2011-12-30,52
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-01-07,1
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-01-14,2
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-01-21,3
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-01-28,4
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-02-04,5
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-02-11,6
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-02-18,7
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-02-25,8
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-03-04,9
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-03-11,10
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-03-18,11
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-03-25,12
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-04-01,13
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-04-08,14
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-04-15,15
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-04-22,16
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-04-29,17
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-05-06,18
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-05-13,19
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-05-20,20
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-05-27,21
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-06-03,22
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-06-10,23
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-06-17,24
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-06-24,25
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-07-01,26
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-07-08,27
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-07-15,28
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-07-22,29
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-07-29,30
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-08-05,31
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-08-12,32
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-08-19,33
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-08-26,34
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-09-02,35
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-09-09,36
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-09-16,37
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-09-23,38
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-09-30,39
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-10-07,40
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-10-14,41
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-10-21,42
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-10-28,43
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-11-04,44
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-11-11,45
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-11-18,46
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-11-25,47
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-12-02,48
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-12-09,49
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-12-16,50
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-12-23,51
"Region_6 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",NA,2011-12-30,52
"Total deaths, all ages",10514,2012-01-06,1
"Total deaths, all ages",11343,2012-01-13,2
"Total deaths, all ages",10393,2012-01-20,3
"Total deaths, all ages",10320,2012-01-27,4
"Total deaths, all ages",10117,2012-02-03,5
"Total deaths, all ages",10287,2012-02-10,6
"Total deaths, all ages",10532,2012-02-17,7
"Total deaths, all ages",11086,2012-02-24,8
"Total deaths, all ages",10945,2012-03-02,9
"Total deaths, all ages",10507,2012-03-09,10
"Total deaths, all ages",10041,2012-03-16,11
"Total deaths, all ages",9864,2012-03-23,12
"Total deaths, all ages",9634,2012-03-30,13
"Total deaths, all ages",8520,2012-04-06,14
"Total deaths, all ages",9992,2012-04-13,15
"Total deaths, all ages",10816,2012-04-20,16
"Total deaths, all ages",10238,2012-04-27,17
"Total deaths, all ages",9957,2012-05-04,18
"Total deaths, all ages",8868,2012-05-11,19
"Total deaths, all ages",9913,2012-05-18,20
"Total deaths, all ages",9602,2012-05-25,21
"Total deaths, all ages",9602,2012-06-01,22
"Total deaths, all ages",6781,2012-06-08,23
"Total deaths, all ages",10170,2012-06-15,24
"Total deaths, all ages",9054,2012-06-22,25
"Total deaths, all ages",8856,2012-06-29,26
"Total deaths, all ages",8909,2012-07-06,27
"Total deaths, all ages",8754,2012-07-13,28
"Total deaths, all ages",8684,2012-07-20,29
"Total deaths, all ages",8877,2012-07-27,30
"Total deaths, all ages",8942,2012-08-03,31
"Total deaths, all ages",8810,2012-08-10,32
"Total deaths, all ages",8776,2012-08-17,33
"Total deaths, all ages",8977,2012-08-24,34
"Total deaths, all ages",7617,2012-08-31,35
"Total deaths, all ages",8848,2012-09-07,36
"Total deaths, all ages",8641,2012-09-14,37
"Total deaths, all ages",8839,2012-09-21,38
"Total deaths, all ages",8865,2012-09-28,39
"Total deaths, all ages",9070,2012-10-05,40
"Total deaths, all ages",9441,2012-10-12,41
"Total deaths, all ages",9284,2012-10-19,42
"Total deaths, all ages",9550,2012-10-26,43
"Total deaths, all ages",9335,2012-11-02,44
"Total deaths, all ages",9683,2012-11-09,45
"Total deaths, all ages",9900,2012-11-16,46
"Total deaths, all ages",9679,2012-11-23,47
"Total deaths, all ages",9394,2012-11-30,48
"Total deaths, all ages",9844,2012-12-07,49
"Total deaths, all ages",10388,2012-12-14,50
"Total deaths, all ages",11461,2012-12-21,51
"Total deaths, all ages",8096,2012-12-28,52
Total deaths: average of corresponding,12455,2012-01-06,1
Total deaths: average of corresponding,12851.4,2012-01-13,2
Total deaths: average of corresponding,11812.8,2012-01-20,3
Total deaths: average of corresponding,11053.6,2012-01-27,4
Total deaths: average of corresponding,10614.6,2012-02-03,5
Total deaths: average of corresponding,10316.6,2012-02-10,6
Total deaths: average of corresponding,10402.2,2012-02-17,7
Total deaths: average of corresponding,10326.8,2012-02-24,8
Total deaths: average of corresponding,10157.8,2012-03-02,9
Total deaths: average of corresponding,9962.4,2012-03-09,10
Total deaths: average of corresponding,9908.6,2012-03-16,11
Total deaths: average of corresponding,9459.2,2012-03-23,12
Total deaths: average of corresponding,9392.4,2012-03-30,13
Total deaths: average of corresponding,9643,2012-04-06,14
Total deaths: average of corresponding,9693.6,2012-04-13,15
Total deaths: average of corresponding,9643.6,2012-04-20,16
Total deaths: average of corresponding,9454,2012-04-27,17
Total deaths: average of corresponding,9375,2012-05-04,18
Total deaths: average of corresponding,9085,2012-05-11,19
Total deaths: average of corresponding,9271.8,2012-05-18,20
Total deaths: average of corresponding,9275,2012-05-25,21
Total deaths: average of corresponding,8223.2,2012-06-01,22
Total deaths: average of corresponding,9240.2,2012-06-08,23
Total deaths: average of corresponding,8878.4,2012-06-15,24
Total deaths: average of corresponding,8750.4,2012-06-22,25
Total deaths: average of corresponding,8718.2,2012-06-29,26
Total deaths: average of corresponding,8764,2012-07-06,27
Total deaths: average of corresponding,8577,2012-07-13,28
Total deaths: average of corresponding,8489.2,2012-07-20,29
Total deaths: average of corresponding,8549.4,2012-07-27,30
Total deaths: average of corresponding,8594,2012-08-03,31
Total deaths: average of corresponding,8546.8,2012-08-10,32
Total deaths: average of corresponding,8552.2,2012-08-17,33
Total deaths: average of corresponding,8577,2012-08-24,34
Total deaths: average of corresponding,7901,2012-08-31,35
Total deaths: average of corresponding,8593.2,2012-09-07,36
Total deaths: average of corresponding,8669.8,2012-09-14,37
Total deaths: average of corresponding,8687.8,2012-09-21,38
Total deaths: average of corresponding,8864.4,2012-09-28,39
Total deaths: average of corresponding,8954.6,2012-10-05,40
Total deaths: average of corresponding,9030.4,2012-10-12,41
Total deaths: average of corresponding,9146.2,2012-10-19,42
Total deaths: average of corresponding,9311,2012-10-26,43
Total deaths: average of corresponding,9540.2,2012-11-02,44
Total deaths: average of corresponding,9478.6,2012-11-09,45
Total deaths: average of corresponding,9551.4,2012-11-16,46
Total deaths: average of corresponding,9640.2,2012-11-23,47
Total deaths: average of corresponding,9579.6,2012-11-30,48
Total deaths: average of corresponding,10335.8,2012-12-07,49
Total deaths: average of corresponding,10587.4,2012-12-14,50
Total deaths: average of corresponding,11179,2012-12-21,51
Total deaths: average of corresponding,8938.8,2012-12-28,52
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1789,2012-01-06,1
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1934,2012-01-13,2
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1629,2012-01-20,3
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1584,2012-01-27,4
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1622,2012-02-03,5
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1612,2012-02-10,6
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1682,2012-02-17,7
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1826,2012-02-24,8
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1892,2012-03-02,9
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1647,2012-03-09,10
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1610,2012-03-16,11
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1536,2012-03-23,12
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1415,2012-03-30,13
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1234,2012-04-06,14
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1498,2012-04-13,15
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1633,2012-04-20,16
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1491,2012-04-27,17
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1488,2012-05-04,18
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1304,2012-05-11,19
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1441,2012-05-18,20
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1256,2012-05-25,21
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1330,2012-06-01,22
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,889,2012-06-08,23
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1401,2012-06-15,24
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1168,2012-06-22,25
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1109,2012-06-29,26
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1107,2012-07-06,27
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1098,2012-07-13,28
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1025,2012-07-20,29
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1125,2012-07-27,30
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1143,2012-08-03,31
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1068,2012-08-10,32
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1048,2012-08-17,33
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1083,2012-08-24,34
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,880,2012-08-31,35
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,982,2012-09-07,36
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1031,2012-09-14,37
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1065,2012-09-21,38
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1082,2012-09-28,39
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1151,2012-10-05,40
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1161,2012-10-12,41
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1192,2012-10-19,42
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1288,2012-10-26,43
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1233,2012-11-02,44
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1306,2012-11-09,45
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1354,2012-11-16,46
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1320,2012-11-23,47
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1305,2012-11-30,48
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1368,2012-12-07,49
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1540,2012-12-14,50
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1783,2012-12-21,51
All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010,1407,2012-12-28,52
Persons_Under 1 year,48,2012-01-06,1
Persons_Under 1 year,61,2012-01-13,2
Persons_Under 1 year,48,2012-01-20,3
Persons_Under 1 year,45,2012-01-27,4
Persons_Under 1 year,52,2012-02-03,5
Persons_Under 1 year,50,2012-02-10,6
Persons_Under 1 year,53,2012-02-17,7
Persons_Under 1 year,75,2012-02-24,8
Persons_Under 1 year,55,2012-03-02,9
Persons_Under 1 year,57,2012-03-09,10
Persons_Under 1 year,58,2012-03-16,11
Persons_Under 1 year,67,2012-03-23,12
Persons_Under 1 year,61,2012-03-30,13
Persons_Under 1 year,50,2012-04-06,14
Persons_Under 1 year,65,2012-04-13,15
Persons_Under 1 year,72,2012-04-20,16
Persons_Under 1 year,60,2012-04-27,17
Persons_Under 1 year,60,2012-05-04,18
Persons_Under 1 year,54,2012-05-11,19
Persons_Under 1 year,67,2012-05-18,20
Persons_Under 1 year,58,2012-05-25,21
Persons_Under 1 year,60,2012-06-01,22
Persons_Under 1 year,42,2012-06-08,23
Persons_Under 1 year,80,2012-06-15,24
Persons_Under 1 year,53,2012-06-22,25
Persons_Under 1 year,56,2012-06-29,26
Persons_Under 1 year,64,2012-07-06,27
Persons_Under 1 year,57,2012-07-13,28
Persons_Under 1 year,47,2012-07-20,29
Persons_Under 1 year,69,2012-07-27,30
Persons_Under 1 year,56,2012-08-03,31
Persons_Under 1 year,70,2012-08-10,32
Persons_Under 1 year,54,2012-08-17,33
Persons_Under 1 year,62,2012-08-24,34
Persons_Under 1 year,62,2012-08-31,35
Persons_Under 1 year,62,2012-09-07,36
Persons_Under 1 year,63,2012-09-14,37
Persons_Under 1 year,56,2012-09-21,38
Persons_Under 1 year,59,2012-09-28,39
Persons_Under 1 year,66,2012-10-05,40
Persons_Under 1 year,52,2012-10-12,41
Persons_Under 1 year,57,2012-10-19,42
Persons_Under 1 year,49,2012-10-26,43
Persons_Under 1 year,63,2012-11-02,44
Persons_Under 1 year,66,2012-11-09,45
Persons_Under 1 year,69,2012-11-16,46
Persons_Under 1 year,70,2012-11-23,47
Persons_Under 1 year,58,2012-11-30,48
Persons_Under 1 year,71,2012-12-07,49
Persons_Under 1 year,60,2012-12-14,50
Persons_Under 1 year,56,2012-12-21,51
Persons_Under 1 year,40,2012-12-28,52
Persons_01-14,19,2012-01-06,1
Persons_01-14,17,2012-01-13,2
Persons_01-14,17,2012-01-20,3
Persons_01-14,28,2012-01-27,4
Persons_01-14,26,2012-02-03,5
Persons_01-14,18,2012-02-10,6
Persons_01-14,16,2012-02-17,7
Persons_01-14,14,2012-02-24,8
Persons_01-14,22,2012-03-02,9
Persons_01-14,16,2012-03-09,10
Persons_01-14,18,2012-03-16,11
Persons_01-14,34,2012-03-23,12
Persons_01-14,21,2012-03-30,13
Persons_01-14,23,2012-04-06,14
Persons_01-14,26,2012-04-13,15
Persons_01-14,18,2012-04-20,16
Persons_01-14,21,2012-04-27,17
Persons_01-14,25,2012-05-04,18
Persons_01-14,16,2012-05-11,19
Persons_01-14,23,2012-05-18,20
Persons_01-14,26,2012-05-25,21
Persons_01-14,23,2012-06-01,22
Persons_01-14,9,2012-06-08,23
Persons_01-14,16,2012-06-15,24
Persons_01-14,17,2012-06-22,25
Persons_01-14,16,2012-06-29,26
Persons_01-14,17,2012-07-06,27
Persons_01-14,16,2012-07-13,28
Persons_01-14,26,2012-07-20,29
Persons_01-14,15,2012-07-27,30
Persons_01-14,13,2012-08-03,31
Persons_01-14,38,2012-08-10,32
Persons_01-14,14,2012-08-17,33
Persons_01-14,19,2012-08-24,34
Persons_01-14,13,2012-08-31,35
Persons_01-14,20,2012-09-07,36
Persons_01-14,19,2012-09-14,37
Persons_01-14,15,2012-09-21,38
Persons_01-14,16,2012-09-28,39
Persons_01-14,16,2012-10-05,40
Persons_01-14,11,2012-10-12,41
Persons_01-14,24,2012-10-19,42
Persons_01-14,31,2012-10-26,43
Persons_01-14,21,2012-11-02,44
Persons_01-14,25,2012-11-09,45
Persons_01-14,19,2012-11-16,46
Persons_01-14,18,2012-11-23,47
Persons_01-14,19,2012-11-30,48
Persons_01-14,32,2012-12-07,49
Persons_01-14,23,2012-12-14,50
Persons_01-14,23,2012-12-21,51
Persons_01-14,15,2012-12-28,52
Persons_15-44,181,2012-01-06,1
Persons_15-44,282,2012-01-13,2
Persons_15-44,279,2012-01-20,3
Persons_15-44,285,2012-01-27,4
Persons_15-44,280,2012-02-03,5
Persons_15-44,312,2012-02-10,6
Persons_15-44,290,2012-02-17,7
Persons_15-44,320,2012-02-24,8
Persons_15-44,278,2012-03-02,9
Persons_15-44,318,2012-03-09,10
Persons_15-44,270,2012-03-16,11
Persons_15-44,296,2012-03-23,12
Persons_15-44,290,2012-03-30,13
Persons_15-44,301,2012-04-06,14
Persons_15-44,278,2012-04-13,15
Persons_15-44,306,2012-04-20,16
Persons_15-44,288,2012-04-27,17
Persons_15-44,301,2012-05-04,18
Persons_15-44,241,2012-05-11,19
Persons_15-44,306,2012-05-18,20
Persons_15-44,273,2012-05-25,21
Persons_15-44,303,2012-06-01,22
Persons_15-44,185,2012-06-08,23
Persons_15-44,300,2012-06-15,24
Persons_15-44,289,2012-06-22,25
Persons_15-44,256,2012-06-29,26
Persons_15-44,266,2012-07-06,27
Persons_15-44,260,2012-07-13,28
Persons_15-44,292,2012-07-20,29
Persons_15-44,283,2012-07-27,30
Persons_15-44,271,2012-08-03,31
Persons_15-44,249,2012-08-10,32
Persons_15-44,268,2012-08-17,33
Persons_15-44,283,2012-08-24,34
